batch_num,date_userID_created,ssn,gender,first_name,last_name,lic_num,birthdate,points_strike,dl_class
1,2018-02-19,457-70-4514,female,Ofelia,Bednar,C7UJRX73,19940421,6,A
2,2018-03-12,760-10-5299,male,Gunner,Keeling,GGSYT9KP,19910204,10,A
3,2018-03-14,312-29-2721,female,Lois,Prosacco,FW4NFAT8,19750202,15,A
4,2018-03-31,447-21-6033,female,Casandra,Runte,8AN5AAKW,19770324,12,A
5,2018-04-03,001-11-4909,male,Eriberto,Legros,7M68AENP,19750825,3,B
6,2018-04-11,400-28-7674,female,Kylee,Fadel,H3TS3U3Y,19950222,7,B
7,2018-04-15,416-12-0162,male,Ephraim,Stracke,W2S3SDHY,19740227,9,C
8,2018-04-25,515-24-9123,male,Oswaldo,Bradtke,TCAPN4D5,19941217,14,A
9,2018-05-01,574-14-8937,male,Watson,Marvin,R73FUR2C,19900929,21,A
10,2018-05-02,048-74-5717,female,Eulalia,McKenzie,4FLMZ9ZF,19881021,2,A
11,2018-05-07,048-20-4634,female,Rosalyn,Huels,4PLALLDX,19761230,0,B
12,2018-06-01,003-40-9202,male,Dion,Fisher,YMVG38ZC,19731204,1,C
13,2018-06-06,424-42-8189,male,Isadore,Mayert,AA7EFA5F,19940204,5,A
14,2018-06-29,647-48-6058,female,May,Keebler,QZZ7RWUV,19870820,9,A
15,2018-07-01,150-12-5560,female,Charity,Kerluke,8BVT49HM,19741028,4,A
16,2018-07-04,524-29-3646,female,Magdalen,Barton,YBXJRVYM,19710518,3,B
17,2018-07-13,530-82-3108,male,Wade,Adams,5MEHF68E,19740217,14,B
18,2018-07-28,425-18-4501,female,Kali,Altenwerth,45WMQKNT,19860521,6,B
19,2018-08-07,218-38-5698,female,Samanta,Gorczany,ZYU5S5GJ,19930323,4,B
20,2018-08-08,442-16-6306,male,Manley,Bernier,QBSPHYSP,19981204,14,C
21,2018-08-15,113-80-4768,female,Gia,Johnston,BCGET754,19870327,17,A
22,2018-09-11,579-16-6630,male,Jeff,Watsica,PF5QG74L,19701116,13,A
23,2018-09-15,503-68-1628,female,Maggie,Collier,XLDKYJCD,19850530,15,C
24,2018-09-16,283-07-6267,female,Karlee,Reichel,XSP7FH66,19980719,1,C
25,2018-09-22,221-80-3391,female,Krystel,Gleason,SG3BCGPG,19960916,4,B
26,2018-02-03,517-21-1361,male,Prince,Bayer,RQ69UL8G,19791013,6,A
27,2018-02-23,454-11-7242,male,Evans,Wisozk,SJWC5N7M,19770208,10,A
28,2018-03-03,214-03-9691,male,Kim,Will,CSRDDAEF,19950503,15,A
29,2018-03-08,501-64-8252,male,Coy,Hoppe,8DGA682D,19700102,12,A
30,2018-03-11,002-24-9999,female,Isabella,Mayer,UTJVDUX8,19831001,3,B
31,2018-04-02,310-09-1344,female,Bianka,Rempel,VVN2CAGQ,19781108,7,B
32,2018-04-27,515-27-3698,male,Kevon,Rowe,3V2CJUSA,19971014,9,C
33,2018-05-04,239-12-9888,male,Juwan,Kuphal,4XZSTGGT,19810820,14,A
34,2018-05-11,575-66-4285,female,Jazmyne,Von,Q6XHH4QB,19940712,21,A
35,2018-05-15,046-32-8881,male,Madyson,Becker,DT2BDT4S,19730529,2,A
36,2018-06-08,008-66-5488,male,Estevan,Bosco,KPZYUR4G,19981018,0,B
